n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
3,cosine,uniform,0.7352150537634409,0.7962962962962963,0.6638888888888889,0.7095127095127095,0.4958594645956958,0.0009527238510580649
3,cosine,distance,0.7352150537634409,0.7962962962962963,0.6638888888888889,0.7095127095127095,0.4958594645956958,0.0009527238510580649
5,cosine,uniform,0.7348790322580645,0.7957042957042956,0.6402777777777778,0.7066836951894423,0.4831414938914917,0.0009527238510580649
5,cosine,distance,0.7348790322580645,0.7957042957042956,0.6402777777777778,0.7066836951894423,0.4831414938914917,0.0009527238510580649
7,cosine,uniform,0.7348790322580645,0.8241943241943241,0.5986111111111111,0.686453810131971,0.49293537453834807,0.0009527238510580649
7,cosine,distance,0.7244623655913979,0.7982683982683981,0.5986111111111111,0.6792743229524838,0.4669873483906277,0.0009527238510580649
9,cosine,uniform,0.7133736559139785,0.7954545454545454,0.5750000000000001,0.6666666666666666,0.44511735505553274,0.0009527238510580649
9,cosine,distance,0.7241263440860215,0.8018648018648018,0.5972222222222222,0.6825396825396824,0.4658023138863541,0.0009527238510580649
11,cosine,uniform,0.7032930107526881,0.7841269841269841,0.5569444444444445,0.6436427939876216,0.4289014988616828,0.0009527238510580649
11,cosine,distance,0.7032930107526881,0.7841269841269841,0.5569444444444445,0.6436427939876216,0.4289014988616828,0.0009527238510580649
15,cosine,uniform,0.6814516129032256,0.7861111111111111,0.5152777777777778,0.6055555555555556,0.3985099932651996,0.0009527238510580649
15,cosine,distance,0.6922043010752689,0.7907407407407407,0.5361111111111111,0.6244444444444445,0.4163642553831897,0.0009527238510580649
20,cosine,uniform,0.6491935483870966,0.794973544973545,0.4055555555555556,0.535024154589372,0.34445552518591915,0.0009527238510580649
20,cosine,distance,0.6918682795698925,0.7768157768157767,0.5555555555555555,0.6407492550021286,0.40815795002638966,0.0009527238510580649
3,euclidean,uniform,0.6599462365591396,0.8090909090909091,0.44861111111111107,0.5664335664335663,0.3684109100395423,0.0009527238510580649
3,euclidean,distance,0.6599462365591396,0.8090909090909091,0.44861111111111107,0.5664335664335663,0.3684109100395423,0.0009527238510580649
5,euclidean,uniform,0.648521505376344,0.8190476190476191,0.3833333333333333,0.5139305139305139,0.35233684021337136,0.0009527238510580649
5,euclidean,distance,0.6592741935483871,0.8250000000000001,0.4055555555555556,0.5350108828369698,0.3717372420795176,0.0009527238510580649
7,euclidean,uniform,0.6266801075268816,0.7685185185185185,0.3625,0.48,0.3002053770255586,0.0009527238510580649
7,euclidean,distance,0.6481854838709676,0.7962962962962963,0.4055555555555556,0.526984126984127,0.3446921001490642,0.0009527238510580649
9,euclidean,uniform,0.616263440860215,0.7666666666666667,0.3194444444444444,0.43403380245485507,0.2819004423492822,0.0009527238510580649
9,euclidean,distance,0.637768817204301,0.8023809523809523,0.3625,0.486946386946387,0.3293457571052621,0.0009527238510580649
11,euclidean,uniform,0.6374327956989246,0.8518518518518517,0.3194444444444444,0.4501754385964912,0.3460152587253354,0.0009527238510580649
11,euclidean,distance,0.6589381720430108,0.8796296296296297,0.3625,0.5038095238095238,0.390875252204755,0.0009527238510580649
15,euclidean,uniform,0.605510752688172,0.7847222222222222,0.33749999999999997,0.41045321637426896,0.2705543438699112,0.0009527238510580649
15,euclidean,distance,0.6374327956989246,0.8560606060606061,0.33888888888888885,0.46257309941520464,0.3460723602197613,0.0009527238510580649
20,euclidean,uniform,0.5735887096774194,0.8148148148148149,0.20972222222222223,0.29850877192982456,0.21156238715439915,0.0009527238510580649
20,euclidean,distance,0.627016129032258,0.85,0.31805555555555554,0.4454790823211876,0.3273902705551303,0.0009527238510580649
