fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.53125,0.5161290322580645,1.0,0.6808510638297872,0.1796053020267749
1,0.2,0.53125,0.5161290322580645,1.0,0.6808510638297872,0.1796053020267749
1,0.30000000000000004,0.59375,0.5517241379310345,1.0,0.7111111111111111,0.3216337604513384
1,0.4,0.75,0.6666666666666666,1.0,0.8,0.5773502691896258
1,0.5,0.8125,0.8571428571428571,0.75,0.8,0.629940788348712
1,0.6,0.84375,0.9230769230769231,0.75,0.8275862068965517,0.6999132392733555
1,0.7000000000000001,0.78125,0.9090909090909091,0.625,0.7407407407407407,0.592156525463792
1,0.8,0.65625,0.8571428571428571,0.375,0.5217391304347826,0.37796447300922725
1,0.9,0.5625,0.75,0.1875,0.3,0.1889822365046136
2,0.1,0.5161290322580645,0.5172413793103449,0.9375,0.6666666666666666,0.008475793795260131
2,0.2,0.5161290322580645,0.5172413793103449,0.9375,0.6666666666666666,0.008475793795260131
2,0.30000000000000004,0.5161290322580645,0.5172413793103449,0.9375,0.6666666666666666,0.008475793795260131
2,0.4,0.5806451612903226,0.56,0.875,0.6829268292682927,0.17919573407620817
2,0.5,0.7096774193548387,1.0,0.4375,0.6086956521739131,0.5229125165837972
2,0.6,0.5483870967741935,1.0,0.125,0.2222222222222222,0.2542738138578039
2,0.7000000000000001,0.4838709677419355,1.0,0.0,0.0,0.0
2,0.8,0.4838709677419355,1.0,0.0,0.0,0.0
2,0.9,0.4838709677419355,1.0,0.0,0.0,0.0
3,0.1,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.2,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.30000000000000004,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.4,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.5,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.6,0.5161290322580645,1.0,0.0,0.0,0.0
3,0.7000000000000001,0.5161290322580645,1.0,0.0,0.0,0.0
3,0.8,0.5161290322580645,1.0,0.0,0.0,0.0
3,0.9,0.5161290322580645,1.0,0.0,0.0,0.0
